"Yr","Region","Wmax","nao","soi","sst","sstmda","sun","split"
1972,"East",30.1326404487708,1.155,-1.24333333333333,-0.239733000000001,-0.0766666666666667,64,1
1973,"Basin",40,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"US",59.4772854692376,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Basin",80,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Basin",81.7340976166727,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Basin",60.8575871535498,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"East",26.1391857902471,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Basin",60.8708974829169,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Basin",60.9549567112416,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Basin",100,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Basin",70.5583654721504,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"Gulf",59.4772854692376,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1973,"US",26.1391857902471,0.6,1.1,-0.0727330000000007,-0.108666666666667,59.3,1
1974,"US",130,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Florida",57.4132775119617,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"US",57.4132775119617,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",130,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",46.6229474468882,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"US",45,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",50.9166207714254,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",60.6627353285292,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Florida",45,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",45,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",67.1314041917974,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Gulf",130,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",57.4132775119617,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",45.5666632068617,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",100.427982499825,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",95.6815088653219,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1974,"Basin",55.9444461139193,-0.075,0.813333333333333,-0.403399666666666,-0.199,40.2,1
1975,"US",38.3505661005042,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Florida",30.0656460952480,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Florida",110,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Florida",25.0006951273687,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",60,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"East",45.6334506716320,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",90.4436554173484,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",60.5224341850781,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",95.3454029698133,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",114.257016597439,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"US",45.6334506716320,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",45.8466065352164,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"East",38.3505661005042,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",103.219978358863,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",121.104991857768,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"US",110,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1975,"Basin",75.6301731677154,-1.12,1.95,-0.198733000000001,-0.000333333333333335,13.9,1
1976,"Basin",106.301770958609,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"East",45.5608810706153,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",45,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",90.5354062599031,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"East",77.2925358938692,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",45.5608810706153,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",66.9021841262304,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",100,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Florida",38.8676697985607,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",81.5707089582159,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",45,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"US",45.5608810706153,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"US",77.2925358938692,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",40,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Basin",90.3784785270379,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Florida",40.5053589838355,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"Florida",44.7875635480948,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"US",44.7875635480948,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"East",35.6941565652898,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"East",40,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1976,"US",40,1.48,-0.873333333333333,-0.127399666666667,0.109666666666667,13.5,1
1977,"Basin",66.8067033551882,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"Gulf",66.2336363747311,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"Basin",75,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"Basin",50.0014158936344,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"East",25,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"Basin",66.2336363747311,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"Basin",71.9168276674751,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"US",66.2336363747311,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"US",30.5028148155355,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"Basin",150.958803970925,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1977,"East",30.5028148155355,-1.255,-1.25333333333333,-0.101066333333334,-0.025,44,1
1978,"Gulf",50.5743815199791,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",45.4300093323195,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",70.430576256185,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Gulf",45.2986000354421,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Florida",25,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",45.7349007777107,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",45.6932462776861,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"US",25,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",40.5625254890151,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",45.2986000354421,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",120,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"US",45.2986000354421,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",82.1339795644739,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",50.5743815199791,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"US",50.5743815199791,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",55.5370522175243,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",85.98204277579,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1978,"Basin",115.453260702124,0.255,-0.193333333333333,-0.105733000000000,0.0506666666666667,138.2,1
1979,"US",85.5578234758917,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"US",35.4179240448670,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"US",45.7744327029449,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Gulf",67.2287649153959,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",50,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",67.2287649153959,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Gulf",45.7744327029449,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"US",113.213288097699,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",75.088172185708,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",65.641338365243,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Gulf",35.4179240448670,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",85.5933394048467,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"US",67.2287649153959,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Florida",85.5578234758917,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",116.371134461471,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",45.7744327029449,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",150.431106062296,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Gulf",113.213288097699,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"Basin",35.4179240448670,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"East",57.9992865232654,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1979,"East",20.0102438501320,0.725,-0.316666666666667,0.00193366666666724,0.0416666666666667,188.4,1
1980,"US",101.796952292461,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",100.904177449432,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",71.5887944475378,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",60.8080069596332,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",70.3450197957368,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"US",50.2495290922467,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",66.0635632259696,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",85.6760381843053,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",165,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",50.2495290922467,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",85.0203116521708,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",75.38541936858,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Gulf",50.2495290922467,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Basin",90.9498247474468,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1980,"Gulf",101.796952292461,-1.23,-0.313333333333333,0.0932669999999997,0.0153333333333333,155,1
1981,"Basin",105.485732806868,-0.76,0.07,0.00426699999999987,0.192,167.3,1
1981,"Basin",45.8987708334157,-0.76,0.07,0.00426699999999987,0.192,167.3,1
1981,"Basin",100.440637548291,-0.76,0.07,0.00426699999999987,0.192,167.3,1
1981,"Basin",90.458426024046,-0.76,0.07,0.00426699999999987,0.192,167.3,1
1981,"Basin",115.112484297938,-0.76,0.07,0.00426699999999987,0.192,167.3,1
1981,"US",60,-0.76,0.07,0.00426699999999987,0.192,167.3,1
